Fish_ID,File,Condition,Step,RMP,spike_threshold
140524_F1_C1,24514040,light,1,-71.81,42.66
140524_F1_C1,24514040,light,2,-72.31,40.22
140524_F1_C1,24514042,light,1,-70.65,39.09
140524_F1_C1,24514042,light,2,-72.08,44.28
140524_F1_C1,24514044,light,1,-70.53,41.96
140524_F1_C1,24514044,light,2,-71.44,42.94
140524_F1_C1,24514046,light,1,-71.44,44.62
140524_F1_C1,24514046,light,2,-71.96,44.9
140524_F1_C1,24514039,no_light,1,-72.11,44.9
140524_F1_C1,24514039,no_light,2,-71.81,44.12
140524_F1_C1,24514041,no_light,1,-71.2,43.82
140524_F1_C1,24514041,no_light,2,-71.17,45.36
140524_F1_C1,24514043,no_light,1,-69.27,41.87
140524_F1_C1,24514043,no_light,2,-69.89,44.68
140524_F1_C1,24514045,no_light,1,-71.17,43.15
140524_F1_C1,24514045,no_light,2,-71.23,42.27
140524_F2_C2,24514014,light,1,-72.33,41.11
140524_F2_C2,24514014,light,2,-72.85,44.99
140524_F2_C2,24514016,light,1,-68.05,38.39
140524_F2_C2,24514016,light,2,-69.79,39.89
140524_F2_C2,24514018,light,1,-67.93,37.96
140524_F2_C2,24514018,light,2,-68.7,38.51
140524_F2_C2,24514013,no_light,1,-72.11,38.6
140524_F2_C2,24514013,no_light,2,-72.36,38.73
140524_F2_C2,24514015,no_light,1,-72.2,38.57
140524_F2_C2,24514015,no_light,2,-71.81,36.96
140524_F2_C2,24514019,no_light,1,-70.92,37.43
140524_F2_C2,24514019,no_light,2,-70.74,37.02
300524_F1_C1,24530009,light,1,-62.32,25.42
300524_F1_C1,24530009,light,2,-59.51,22.22
300524_F1_C1,24530011,light,1,-62.76,27.24
300524_F1_C1,24530011,light,2,-62.16,21.82
300524_F1_C1,24530013,light,1,-62.16,24.48
300524_F1_C1,24530013,light,2,-60.7,25.42
300524_F1_C1,24530015,light,1,-62.19,25.92
300524_F1_C1,24530015,light,2,-61.77,25.82
300524_F1_C1,24530017,light,1,-62.01,24.26
300524_F1_C1,24530017,light,2,-62.59,27.61
300524_F1_C1,24530008,no_light,1,-62.41,25.03
300524_F1_C1,24530008,no_light,2,-62.44,25.45
300524_F1_C1,24530010,no_light,1,-61.95,24.06
300524_F1_C1,24530010,no_light,2,-61.77,23.22
300524_F1_C1,24530012,no_light,1,-62.1,27.4
300524_F1_C1,24530012,no_light,2,-62.01,27.56
300524_F1_C1,24530014,no_light,1,-62.04,24.66
300524_F1_C1,24530014,no_light,2,-62.13,23.9
300524_F1_C1,24530016,no_light,1,-62.07,25.05
300524_F1_C1,24530016,no_light,2,-62.1,27.65
